Time resolution is 1 ps
                 590 clk=0, X=1, reset=0, highway=10, country=00
                 595 clk=1, X=1, reset=0, highway=10, country=00
                 600 clk=0, X=1, reset=0, highway=10, country=00
                 605 clk=1, X=1, reset=0, highway=10, country=00
                 610 clk=0, X=1, reset=0, highway=10, country=00
                 615 clk=1, X=1, reset=0, highway=10, country=00
                 620 clk=0, X=1, reset=0, highway=10, country=00
                 625 clk=1, X=1, reset=0, highway=10, country=00
                 630 clk=0, X=1, reset=0, highway=10, country=00
                 635 clk=1, X=1, reset=0, highway=10, country=00
                 640 clk=0, X=1, reset=0, highway=10, country=00
                 645 clk=1, X=1, reset=0, highway=10, country=00
                 650 clk=0, X=1, reset=0, highway=10, country=00
                 655 clk=1, X=1, reset=0, highway=10, country=00
                 660 clk=0, X=1, reset=0, highway=10, country=00
                 665 clk=1, X=1, reset=0, highway=10, country=00
                 670 clk=0, X=1, reset=0, highway=10, country=00
                 675 clk=1, X=1, reset=0, highway=10, country=00
                 680 clk=0, X=0, reset=0, highway=10, country=00
                 685 clk=1, X=0, reset=0, highway=10, country=00
                 690 clk=0, X=0, reset=0, highway=10, country=00
                 695 clk=1, X=0, reset=0, highway=10, country=00
                 700 clk=0, X=0, reset=0, highway=10, country=00
                 705 clk=1, X=0, reset=0, highway=00, country=10
                 710 clk=0, X=0, reset=0, highway=00, country=10
                 715 clk=1, X=0, reset=0, highway=00, country=10
                 720 clk=0, X=0, reset=0, highway=00, country=10
                 725 clk=1, X=0, reset=0, highway=00, country=10
                 730 clk=0, X=0, reset=0, highway=00, country=10
                 735 clk=1, X=0, reset=0, highway=00, country=10
                 740 clk=0, X=0, reset=0, highway=00, country=10
                 745 clk=1, X=0, reset=0, highway=00, country=10
                 750 clk=0, X=0, reset=0, highway=00, country=10
                 755 clk=1, X=0, reset=0, highway=00, country=10
                 760 clk=0, X=0, reset=0, highway=00, country=10
                 765 clk=1, X=0, reset=0, highway=00, country=10
                 770 clk=0, X=0, reset=0, highway=00, country=10
                 775 clk=1, X=0, reset=0, highway=00, country=10
                 780 clk=0, X=0, reset=0, highway=00, country=10
                 785 clk=1, X=0, reset=0, highway=00, country=10
                 790 clk=0, X=0, reset=0, highway=00, country=10
                 795 clk=1, X=0, reset=0, highway=00, country=10
                 800 clk=0, X=0, reset=0, highway=00, country=10
                 805 clk=1, X=0, reset=0, highway=00, country=10
                 810 clk=0, X=0, reset=0, highway=00, country=10
                 815 clk=1, X=0, reset=0, highway=00, country=10
                 820 clk=0, X=0, reset=0, highway=00, country=10
                 825 clk=1, X=0, reset=0, highway=00, country=10
                 830 clk=0, X=0, reset=0, highway=00, country=10
                 835 clk=1, X=0, reset=0, highway=00, country=10
                 840 clk=0, X=0, reset=0, highway=00, country=10
                 845 clk=1, X=0, reset=0, highway=00, country=10
                 850 clk=0, X=0, reset=0, highway=00, country=10
                 855 clk=1, X=0, reset=0, highway=00, country=10
                 860 clk=0, X=0, reset=0, highway=00, country=10
                 865 clk=1, X=0, reset=0, highway=00, country=10
                 870 clk=0, X=0, reset=0, highway=00, country=10
                 875 clk=1, X=0, reset=0, highway=00, country=10
                 880 clk=0, X=0, reset=0, highway=00, country=10
                 885 clk=1, X=0, reset=0, highway=00, country=10
                 890 clk=0, X=1, reset=0, highway=00, country=10
                 895 clk=1, X=1, reset=0, highway=01, country=10
                 900 clk=0, X=1, reset=0, highway=01, country=10
                 905 clk=1, X=1, reset=0, highway=01, country=10
                 910 clk=0, X=1, reset=0, highway=01, country=10
                 915 clk=1, X=1, reset=0, highway=01, country=10
                 920 clk=0, X=1, reset=0, highway=01, country=10
                 925 clk=1, X=1, reset=0, highway=01, country=10
                 930 clk=0, X=0, reset=0, highway=01, country=10
                 935 clk=1, X=0, reset=0, highway=01, country=10
                 940 clk=0, X=0, reset=0, highway=01, country=10
                 945 clk=1, X=0, reset=0, highway=01, country=10
                 950 clk=0, X=0, reset=0, highway=01, country=10
                 955 clk=1, X=0, reset=0, highway=01, country=10
                 960 clk=0, X=0, reset=0, highway=01, country=10
                 965 clk=1, X=0, reset=0, highway=10, country=10
                 970 clk=0, X=1, reset=0, highway=10, country=10
                 975 clk=1, X=1, reset=0, highway=10, country=10
                 980 clk=0, X=1, reset=0, highway=10, country=10
                 985 clk=1, X=1, reset=0, highway=10, country=10
                 990 clk=0, X=1, reset=0, highway=10, country=10
                 995 clk=1, X=1, reset=0, highway=10, country=10
                1000 clk=0, X=1, reset=0, highway=10, country=10
